FIPS,MONTH,TMAX,TMIN,PRCP,YEAR,W_KEY
37017,07,89.95483870967742,70.30000000000003,8.13,2008,2106
37017,08,88.0290322580645,69.81290322580645,7.779999999999999,2008,2107
37017,09,82.78666666666668,65.69666666666666,8.549999999999999,2008,2108
37017,10,73.19354838709677,49.61612903225806,1.5600000000000003,2008,2109
37017,11,62.04333333333334,39.09,4.4799999999999995,2008,2110
37017,12,61.17096774193548,39.477419354838716,2.0300000000000002,2008,2111
37017,01,52.48387096774193,33.6,1.55,2009,2112
37017,02,58.128571428571426,34.40000000000001,2.2399999999999998,2009,2113
37017,03,63.22580645161292,42.46451612903225,3.609999999999999,2009,2114
37017,04,75.05999999999997,50.84,1.94,2009,2115
37017,05,81.45806451612903,61.92258064516128,4.83,2009,2116
37017,06,89.59333333333332,69.36,2.38,2009,2117
37017,07,89.74193548387095,69.73225806451612,4.949999999999999,2009,2118
37017,08,89.12903225806451,71.82258064516131,7.000000000000001,2009,2119
37017,09,82.90000000000002,63.566666666666684,3.2699999999999996,2009,2120
37017,10,72.90000000000002,53.14193548387097,1.4600000000000004,2009,2121
37017,11,65.88999999999997,45.93666666666666,5.27,2009,2122
37017,12,53.84838709677418,34.858064516129026,5.05,2009,2123
37017,01,50.719354838709684,29.60645161290322,3.56,2010,2124
37017,02,50.975,30.52142857142857,3.6599999999999993,2010,2125
37017,03,65.19677419354839,41.11290322580644,3.45,2010,2126
37017,04,78.42666666666665,50.74333333333333,0.66,2010,2127
37017,05,83.90322580645163,63.53225806451614,5.6899999999999995,2010,2128
37017,06,92.27333333333335,72.66666666666669,3.96,2010,2129
37017,07,92.1483870967742,72.83225806451614,5.5,2010,2130
37017,08,91.91612903225808,72.28709677419356,2.9800000000000004,2010,2131
37017,09,88.94666666666666,65.67666666666666,10.84,2010,2132
37017,10,77.49032258064517,52.22580645161289,0.7,2010,2133
37017,11,66.22666666666669,40.96,0.9600000000000002,2010,2134
37017,12,46.50000000000001,26.745161290322585,1.8400000000000003,2010,2135
37017,01,49.20322580645161,28.835483870967735,1.18,2011,2136
37017,02,61.93928571428571,37.80714285714287,3.5599999999999996,2011,2137
37017,03,65.1774193548387,42.54838709677419,3.4700000000000006,2011,2138
37017,04,76.92,52.776666666666664,2.52,2011,2139
37017,05,83.30967741935484,60.609677419354824,2.9099999999999997,2011,2140
37017,06,93.01666666666668,70.20333333333333,3.9500000000000006,2011,2141
37017,07,94.36451612903228,73.44516129032256,3.5500000000000003,2011,2142
37017,08,91.92258064516126,71.30967741935484,8.03,2011,2143
37017,09,83.94333333333334,65.57,3.789999999999999,2011,2144
37017,10,73.10645161290323,49.62580645161289,2.24,2011,2145
37017,11,69.14666666666668,43.54666666666666,3.3499999999999996,2011,2146
37017,12,62.703225806451606,38.84193548387096,0.86,2011,2147
37017,01,59.50322580645162,36.758064516129025,2.06,2012,2148
37017,02,60.66896551724137,37.69655172413793,2.07,2012,2149
37017,03,74.20322580645161,50.54193548387096,3.8100000000000005,2012,2150
37017,04,74.57999999999998,51.07000000000001,2.2999999999999994,2012,2151
37017,05,83.98709677419356,62.5258064516129,6.34,2012,2152
37017,06,86.99666666666668,63.959999999999994,3.7,2012,2153
37017,07,93.45806451612903,74.10645161290323,5.33,2012,2154
37017,08,86.87096774193547,70.54193548387097,7.249999999999999,2012,2155
37017,09,83.83333333333333,63.31666666666668,2.7199999999999993,2012,2156
37017,10,73.64193548387098,52.564516129032256,2.38,2012,2157
37017,11,61.48666666666668,36.906666666666666,1.78,2012,2158
